name_country,found_easy,surname_country,surname_found,possible_match,match_correct,new_swimmer,country,name
Amit Ivry ISR,FALSE,Ivry ISR,FALSE,,FALSE,TRUE,ISR,Amit Ivry
Akaram Mahmoud EGY,FALSE,Mahmoud EGY,FALSE,,FALSE,TRUE,EGY,Akaram Mahmoud
Lili Ibanez Lopez MEX,FALSE,Lopez MEX,FALSE,,FALSE,TRUE,MEX,Lili Ibanez Lopez
Jeremy Desplanches SUI,FALSE,Desplanches SUI,FALSE,,FALSE,TRUE,SUI,Jeremy Desplanches
Odysseys Melanidis GRE,FALSE,Melanidis GRE,FALSE,,FALSE,TRUE,GRE,Odysseys Melanidis
Sasha Touretski SUI,FALSE,Touretski SUI,FALSE,,FALSE,TRUE,SUI,Sasha Touretski
Marcelo Acosta ESA,FALSE,Acosta ESA,FALSE,,FALSE,TRUE,ESA,Marcelo Acosta
Patricia Castro Ortega ESP,FALSE,Ortega ESP,FALSE,,FALSE,TRUE,ESP,Patricia Castro Ortega
Omar Pinzon COL,FALSE,Pinzon COL,FALSE,,FALSE,TRUE,COL,Omar Pinzon
Martin Bau SLO,FALSE,Bau SLO,FALSE,,FALSE,TRUE,SLO,Martin Bau
Theodora Giareni GRE,FALSE,Giareni GRE,FALSE,,FALSE,TRUE,GRE,Theodora Giareni
Filippo Magnini ITA,FALSE,Magnini ITA,FALSE,,FALSE,TRUE,ITA,Filippo Magnini
