First name,Family name,Country,Entry ,Time,Event,full_name,name_country,found_easy,possible_match,match_correct,new_swimmer,time_hundredths
Silvia ,Di Pietro ,ITA,A ,24.93,Women's 50 Freestyle,Silvia Di Pietro,Silvia Di Pietro ITA,TRUE,,FALSE,FALSE,2493
Erika ,Ferraioli ,ITA,A ,25.16,Women's 50 Freestyle,Erika Ferraioli,Erika Ferraioli ITA,TRUE,,FALSE,FALSE,2516
Erika ,Ferraioli ,ITA,A ,54.31,Women's 100 Freestyle,Erika Ferraioli,Erika Ferraioli ITA,TRUE,,FALSE,FALSE,5431
Rikako ,Ikee ,JPN,A ,25.05,Women's 50 Freestyle,Rikako Ikee,Rikako Ikee JPN,TRUE,,FALSE,FALSE,2505
Rikako ,Ikee ,JPN,A ,54.15,Women's 100 Freestyle,Rikako Ikee,Rikako Ikee JPN,TRUE,,FALSE,FALSE,5415
Rikako ,Ikee ,JPN,A ,01:57.4,Women's 200 Freestyle,Rikako Ikee,Rikako Ikee JPN,TRUE,,FALSE,FALSE,11740
Rikako ,Ikee ,JPN,A ,57.57,Women's 100 Butterfly,Rikako Ikee,Rikako Ikee JPN,TRUE,,FALSE,FALSE,5757
Yayoi ,Matsumoto ,JPN,A ,25.19,Women's 50 Freestyle,Yayoi Matsumoto,Yayoi Matsumoto JPN,FALSE,Yayori Matsumoto JPN,TRUE,FALSE,2519
Lili ,Ibanez Lopez ,MEX,A ,25.23,Women's 50 Freestyle,Lili Ibanez Lopez,Lili Ibanez Lopez MEX,FALSE,,FALSE,TRUE,2523
Inge ,Dekker ,NED,A ,25.08,Women's 50 Freestyle,Inge Dekker,Inge Dekker NED,TRUE,,FALSE,FALSE,2508
Inge ,Dekker ,NED,A ,57.68,Women's 100 Butterfly,Inge Dekker,Inge Dekker NED,TRUE,,FALSE,FALSE,5768
Ranomi ,Kromowidjojo ,NED,A ,24.07,Women's 50 Freestyle,Ranomi Kromowidjojo,Ranomi Kromowidjojo NED,TRUE,,FALSE,FALSE,2407
Ranomi ,Kromowidjojo ,NED,A ,53.14,Women's 100 Freestyle,Ranomi Kromowidjojo,Ranomi Kromowidjojo NED,TRUE,,FALSE,FALSE,5314
Susann ,Bjoernsen ,NOR,A ,25.22,Women's 50 Freestyle,Susann Bjoernsen,Susann Bjoernsen NOR,TRUE,,FALSE,FALSE,2522
Susann ,Bjoernsen ,NOR,B ,55.76,Women's 100 Freestyle,Susann Bjoernsen,Susann Bjoernsen NOR,TRUE,,FALSE,FALSE,5576
Aleksandra ,Urbanczyk ,POL,A ,25.03,Women's 50 Freestyle,Aleksandra Urbanczyk,Aleksandra Urbanczyk POL,TRUE,,FALSE,FALSE,2503
Anna ,Dowgiert ,POL,A ,25.15,Women's 50 Freestyle,Anna Dowgiert,Anna Dowgiert POL,TRUE,,FALSE,FALSE,2515
Vanessa ,Garcia Vega ,PUR,A ,25.21,Women's 50 Freestyle,Vanessa Garcia Vega,Vanessa Garcia Vega PUR,FALSE,,FALSE,TRUE,2521
Rozaliya ,Nasretdinova ,RUS,A ,24.9,Women's 50 Freestyle,Rozaliya Nasretdinova,Rozaliya Nasretdinova RUS,TRUE,,FALSE,FALSE,2490
Sasha ,Touretski ,SUI,A ,25.26,Women's 50 Freestyle,Sasha Touretski,Sasha Touretski SUI,FALSE,,FALSE,TRUE,2526
Therese ,Alshammar ,SWE,A ,24.75,Women's 50 Freestyle,Therese Alshammar,Therese Alshammar SWE,TRUE,,FALSE,FALSE,2475
Sarah ,Sjostrom ,SWE,A ,24.17,Women's 50 Freestyle,Sarah Sjostrom,Sarah Sjostrom SWE,TRUE,,FALSE,FALSE,2417
Sarah ,Sjostrom ,SWE,A ,52.7,Women's 100 Freestyle,Sarah Sjostrom,Sarah Sjostrom SWE,TRUE,,FALSE,FALSE,5270
Sarah ,Sjostrom ,SWE,A ,01:54.3,Women's 200 Freestyle,Sarah Sjostrom,Sarah Sjostrom SWE,TRUE,,FALSE,FALSE,11430
Sarah ,Sjostrom ,SWE,A ,55.64,Women's 100 Butterfly,Sarah Sjostrom,Sarah Sjostrom SWE,TRUE,,FALSE,FALSE,5564
Darya ,Stepanyuk ,UKR,A ,25.1,Women's 50 Freestyle,Darya Stepanyuk,Darya Stepanyuk UKR,TRUE,,FALSE,FALSE,2510
Darya ,Stepanyuk ,UKR,B ,59.67,Women's 100 Butterfly,Darya Stepanyuk,Darya Stepanyuk UKR,TRUE,,FALSE,FALSE,5967
